HKSCS-2004 HKSCS-2004 in          HKSCS-2004 in          HKSCS-2004 in
FA6A       986C                   986C                    986C
FA6B       E02B                   3743                    3743
FA6C       8416                   8416                    8416
FA6D       E02D                   E02D                   249A4
FA6E       E02E                   E02E                   20487
FA6F       5160                   5160                    5160
FA70       E030                   E030                   233B4
FA71       516A                   516A                    516A
FA72       E032                   E032                   20BFF
FA73       E033                   E033                   220FC
FA74       E034                   E034                   202E5
FA75       E035                   E035                   22530
FA76       E036                   E036                   2058E
FA77       E037                   E037                   23233
FA78       E038                   E038                   21983
FA79       5B82                   5B82                    5B82
FA7A       877D                   877D                    877D
FA7B       E03B                   E03B                   205B3
FA7C       E03C                   E03C                   23C99
FA7D       51B2                   51B2                    51B2
FA7E       51B8                   51B8                    51B8
FAA1       9D34                   9D34                    9D34
FAA2       51C9                   51C9                    51C9
FAA3       51CF                   51CF                    51CF
FAA4       51D1                   51D1                    51D1
FAA5       E043                   3CDC                    3CDC
FAA6       51D3                   51D3                    51D3
FAA7       E045                   E045                   24AA6
FAA8       51B3                   51B3                    51B3
FAA9       51E2                   51E2                    51E2
FAAA       5342                   5342                    5342
FAAB       51ED                   51ED                    51ED
FAAC       83CD                   83CD                    83CD
FAAD       693E                   693E                    693E
FAAE       E04C                   E04C                   2372D
FAAF       5F7B                   5F7B                    5F7B
FAB0       520B                   520B                    520B
FAB1       5226                   5226                    5226
FAB2       523C                   523C                    523C
FAB3       52B5                   52B5                    52B5
FAB4       5257                   5257                    5257
FAB5       5294                   5294                    5294
FAB6       52B9                   52B9                    52B9
FAB7       52C5                   52C5                    52C5
FAB8       7C15                   7C15                    7C15
FAB9       8542                   8542                    8542
FABA       52E0                   52E0                    52E0
FABB       860D                   860D                    860D
FABC       E05A                   E05A                   26B13
FABE       E05C                   E05C                   28ADE
FABF       5549                   5549                    5549
FAC0       6ED9                   6ED9                    6ED9
FAC1       E05F                   E05F                   23F80
FAC2       E060                   E060                   20954
FAC3       E061                   E061                   23FEC
FAC4       5333                   5333                    5333
FAC6       E064                   E064                   20BE2
FAC7       6CCB                   6CCB                    6CCB
FAC8       E066                   E066                   21726
FAC9       681B                   681B                    681B
FACA       73D5                   73D5                    73D5
FACB       604A                   604A                    604A
FACC       E06A                   3EAA                    3EAA
FACD       E06B                   38CC                    38CC
FACE       E06C                   E06C                   216E8
FACF       71DD                   71DD                    71DD
FAD0       E06E                   44A2                    44A2
FAD1       536D                   536D                    536D
FAD2       5374                   5374                    5374
FAD3       E071                   E071                   286AB
FAD4       537E                   537E                    537E
FAD6       E074                   E074                   21596
FAD7       E075                   E075                   21613
FAD8       77E6                   77E6                    77E6
FAD9       5393                   5393                    5393
FADA       E078                   E078                   28A9B
FADB       53A0                   53A0                    53A0
FADC       53AB                   53AB                    53AB
FADD       53AE                   53AE                    53AE
FADE       73A7                   73A7                    73A7
FADF       E07D                   E07D                   25772
FAE0       E07E                   3F59                    3F59
FAE1       739C                   739C                    739C
FAE2       53C1                   53C1                    53C1
FAE3       53C5                   53C5                    53C5
FAE4       6C49                   6C49                    6C49
FAE5       4E49                   4E49                    4E49
FAE6       57FE                   57FE                    57FE
FAE7       53D9                   53D9                    53D9
FAE8       E086                   3AAB                    3AAB
FAE9       E087                   E087                   20B8F
FAEA       53E0                   53E0                    53E0
FAEB       E089                   E089                   23FEB
FAEC       E08A                   E08A                   22DA3
FAED       53F6                   53F6                    53F6
FAEE       E08C                   E08C                   20C77
FAEF       5413                   5413                    5413
FAF0       7079                   7079                    7079
FAF1       552B                   552B                    552B
FAF2       6657                   6657                    6657
FAF3       6D5B                   6D5B                    6D5B
FAF4       546D                   546D                    546D
FAF5       E093                   E093                   26B53
FAF6       E094                   E094                   20D74
FAF7       555D                   555D                    555D
FAF8       548F                   548F                    548F
FAF9       54A4                   54A4                    54A4
FAFA       E098                   47A6                    47A6
FAFB       E099                   E099                   2170D
FAFC       E09A                   E09A                   20EDD
FAFD       E09B                   3DB4                    3DB4
FAFE       E09C                   E09C                   20D4D
FB40       E09D                   E09D                   289BC
FB41       E09E                   E09E                   22698
FB42       5547                   5547                    5547
FB43       E0A0                   4CED                    4CED
FB44       542F                   542F                    542F
FB45       7417                   7417                    7417
FB46       5586                   5586                    5586
FB47       55A9                   55A9                    55A9
FB49       E0A6                   E0A6                   218D7
FB4A       E0A7                   E0A7                   2403A
FB4B       E0A8                   4552                    4552
FB4C       E0A9                   E0A9                   24435
FB4D       66B3                   66B3                    66B3
FB4E       E0AB                   E0AB                   210B4
FB4F       5637                   5637                    5637
FB50       66CD                   66CD                    66CD
FB51       E0AE                   E0AE                   2328A
FB52       66A4                   66A4                    66A4
FB53       66AD                   66AD                    66AD
FB54       564D                   564D                    564D
FB55       564F                   564F                    564F
FB56       78F1                   78F1                    78F1
FB57       56F1                   56F1                    56F1
FB58       9787                   9787                    9787
FB59       53FE                   53FE                    53FE
FB5A       5700                   5700                    5700
FB5B       56EF                   56EF                    56EF
FB5C       56ED                   56ED                    56ED
FB5D       E0BA                   E0BA                   28B66
FB5E       E0BB                   3623                    3623
FB5F       E0BC                   E0BC                   2124F
FB60       5746                   5746                    5746
FB61       E0BE                   E0BE                   241A5
FB62       6C6E                   6C6E                    6C6E
FB63       708B                   708B                    708B
FB64       5742                   5742                    5742
FB65       E0C2                   36B1                    36B1
FB66       E0C3                   E0C3                   26C7E
FB67       57E6                   57E6                    57E6
FB68       E0C5                   E0C5                   21416
FB69       5803                   5803                    5803
FB6A       E0C7                   E0C7                   21454
FB6B       E0C8                   E0C8                   24363
FB6C       5826                   5826                    5826
FB6D       E0CA                   E0CA                   24BF5
FB6E       585C                   585C                    585C
FB6F       58AA                   58AA                    58AA
FB70       E0CD                   3561                    3561
FB71       58E0                   58E0                    58E0
FB72       58DC                   58DC                    58DC
FB73       E0D0                   E0D0                   2123C
FB74       58FB                   58FB                    58FB
FB75       5BFF                   5BFF                    5BFF
FB76       5743                   5743                    5743
FB77       E0D4                   E0D4                   2A150
FB78       E0D5                   E0D5                   24278
FB79       93D3                   93D3                    93D3
FB7A       E0D7                   35A1                    35A1
FB7B       591F                   591F                    591F
FB7C       68A6                   68A6                    68A6
FB7D       E0DA                   36C3                    36C3
FB7E       6E59                   6E59                    6E59
FBA1       E0DC                   E0DC                   2163E
FBA2       5A24                   5A24                    5A24
FBA3       5553                   5553                    5553
FBA4       E0DF                   E0DF                   21692
FBA5       8505                   8505                    8505
FBA6       59C9                   59C9                    59C9
FBA7       E0E2                   E0E2                   20D4E
FBA8       E0E3                   E0E3                   26C81
FBA9       E0E4                   E0E4                   26D2A
FBAA       E0E5                   E0E5                   217DC
FBAB       59D9                   59D9                    59D9
FBAC       E0E7                   E0E7                   217FB
FBAD       E0E8                   E0E8                   217B2
FBAE       E0E9                   E0E9                   26DA6
FBAF       6D71                   6D71                    6D71
FBB0       E0EB                   E0EB                   21828
FBB1       E0EC                   E0EC                   216D5
FBB2       59F9                   59F9                    59F9
FBB3       E0EE                   E0EE                   26E45
FBB4       5AAB                   5AAB                    5AAB
FBB5       5A63                   5A63                    5A63
FBB6       E0F1                   36E6                    36E6
FBB7       E0F2                   E0F2                   249A9
FBB9       E0F4                   3708                    3708
FBBA       5A96                   5A96                    5A96
FBBB       7465                   7465                    7465
FBBC       5AD3                   5AD3                    5AD3
FBBD       E0F8                   E0F8                   26FA1
FBBE       E0F9                   E0F9                   22554
FBBF       E0FA                   3D85                    3D85
FBC0       E0FB                   E0FB                   21911
FBC1       E0FC                   3732                    3732
FBC2       E0FD                   E0FD                   216B8
FBC3       5E83                   5E83                    5E83
FBC4       52D0                   52D0                    52D0
FBC5       5B76                   5B76                    5B76
FBC6       6588                   6588                    6588
FBC7       5B7C                   5B7C                    5B7C
FBC8       E103                   E103                   27A0E
FBC9       E104                   4004                    4004
FBCA       E105                   485D                    485D
FBCB       E106                   E106                   20204
FBCC       5BD5                   5BD5                    5BD5
FBCD       6160                   6160                    6160
FBCE       E109                   E109                   21A34
FBCF       E10A                   E10A                   259CC
FBD0       E10B                   E10B                   205A5
FBD1       5BF3                   5BF3                    5BF3
FBD2       5B9D                   5B9D                    5B9D
FBD3       E10E                   4D10                    4D10
FBD4       5C05                   5C05                    5C05
FBD5       E110                   E110                   21B44
FBD6       5C13                   5C13                    5C13
FBD7       73CE                   73CE                    73CE
FBD8       5C14                   5C14                    5C14
FBD9       E114                   E114                   21CA5
FBDA       E115                   E115                   26B28
FBDB       5C49                   5C49                    5C49
FBDC       E117                   48DD                    48DD
FBDD       5C85                   5C85                    5C85
FBDE       5CE9                   5CE9                    5CE9
FBDF       5CEF                   5CEF                    5CEF
FBE0       5D8B                   5D8B                    5D8B
FBE1       E11C                   E11C                   21DF9
FBE2       E11D                   E11D                   21E37
FBE3       5D10                   5D10                    5D10
FBE4       5D18                   5D18                    5D18
FBE5       5D46                   5D46                    5D46
FBE6       E121                   E121                   21EA4
FBE7       5CBA                   5CBA                    5CBA
FBE8       5DD7                   5DD7                    5DD7
FBE9       82FC                   82FC                    82FC
FBEA       E125                   382D                    382D
FBEB       E126                   E126                   24901
FBEC       E127                   E127                   22049
FBED       E128                   E128                   22173
FBEE       8287                   8287                    8287
FBEF       E12A                   3836                    3836
FBF0       E12B                   3BC2                    3BC2
FBF1       5E2E                   5E2E                    5E2E
FBF2       6A8A                   6A8A                    6A8A
FBF4       5E7A                   5E7A                    5E7A
FBF5       E130                   E130                   244BC
FBF6       E131                   E131                   20CD3
FBF7       53A6                   53A6                    53A6
FBF8       4EB7                   4EB7                    4EB7
FBFA       53A8                   53A8                    53A8
FBFB       E136                   E136                   21771
FBFC       5E09                   5E09                    5E09
FBFD       5EF4                   5EF4                    5EF4
FBFE       E139                   E139                   28482
FC40       5EF9                   5EF9                    5EF9
FC41       5EFB                   5EFB                    5EFB
FC42       E13C                   38A0                    38A0
FC43       5EFC                   5EFC                    5EFC
FC44       683E                   683E                    683E
FC45       941B                   941B                    941B
FC46       5F0D                   5F0D                    5F0D
FC47       E141                   E141                   201C1
FC48       E142                   E142                   2F894
FC49       E143                   3ADE                    3ADE
FC4A       E144                   48AE                    48AE
FC4B       E145                   E145                   2133A
FC4C       5F3A                   5F3A                    5F3A
FC4D       E147                   E147                   26888
FC4E       E148                   E148                   223D0
FC50       E14A                   E14A                   22471
FC51       5F63                   5F63                    5F63
FC52       97BD                   97BD                    97BD
FC53       E14D                   E14D                   26E6E
FC54       5F72                   5F72                    5F72
FC55       9340                   9340                    9340
FC56       E150                   E150                   28A36
FC57       5FA7                   5FA7                    5FA7
FC58       5DB6                   5DB6                    5DB6
FC59       E153                   3D5F                    3D5F
FC5A       E154                   E154                   25250
FC5B       E155                   E155                   21F6A
FC5C       E156                   E156                   270F8
FC5D       E157                   E157                   22668
FC5E       91D6                   91D6                    91D6
FC5F       E159                   E159                   2029E
FC60       E15A                   E15A                   28A29
FC61       6031                   6031                    6031
FC62       6685                   6685                    6685
FC63       E15D                   E15D                   21877
FC64       E15E                   3963                    3963
FC65       E15F                   3DC7                    3DC7
FC66       E160                   3639                    3639
FC67       5790                   5790                    5790
FC68       E162                   E162                   227B4
FC69       7971                   7971                    7971
FC6A       E164                   3E40                    3E40
FC6B       609E                   609E                    609E
FC6D       60B3                   60B3                    60B3
FC6E       E168                   E168                   24982
FC6F       E169                   E169                   2498F
FC70       E16A                   E16A                   27A53
FC71       74A4                   74A4                    74A4
FC72       50E1                   50E1                    50E1
FC73       5AA0                   5AA0                    5AA0
FC74       6164                   6164                    6164
FC75       8424                   8424                    8424
FC76       6142                   6142                    6142
FC77       E171                   E171                   2F8A6
FC78       E172                   E172                   26ED2
FC79       6181                   6181                    6181
FC7A       51F4                   51F4                    51F4
FC7B       E175                   E175                   20656
FC7C       6187                   6187                    6187
FC7D       5BAA                   5BAA                    5BAA
FC7E       E178                   E178                   23FB7
FCA1       E179                   E179                   2285F
FCA2       61D3                   61D3                    61D3
FCA3       E17B                   E17B                   28B9D
FCA4       E17C                   E17C                   2995D
FCA5       61D0                   61D0                    61D0
FCA6       E17E                   3932                    3932
FCA7       E17F                   E17F                   22980
FCA8       E180                   E180                   228C1
FCA9       6023                   6023                    6023
FCAA       615C                   615C                    615C
FCAB       651E                   651E                    651E
FCAC       638B                   638B                    638B
FCAD       E185                   E185                   20118
FCAE       62C5                   62C5                    62C5
FCAF       E187                   E187                   21770
FCB0       62D5                   62D5                    62D5
FCB1       E189                   E189                   22E0D
FCB2       636C                   636C                    636C
FCB3       E18B                   E18B                   249DF
FCB4       E18C                   3A17                    3A17
FCB5       6438                   6438                    6438
FCB6       63F8                   63F8                    63F8
FCB7       E18F                   E18F                   2138E
FCB8       E190                   E190                   217FC
FCBA       6F8A                   6F8A                    6F8A
FCBB       E193                   E193                   22E36
FCBC       9814                   9814                    9814
FCBD       E195                   E195                   2408C
FCBE       E196                   E196                   2571D
FCBF       64E1                   64E1                    64E1
FCC0       64E5                   64E5                    64E5
FCC1       947B                   947B                    947B
FCC2       E19A                   3A66                    3A66
FCC3       643A                   643A                    643A
FCC4       E19C                   3A57                    3A57
FCC5       654D                   654D                    654D
FCC6       6F16                   6F16                    6F16
FCC7       E19F                   E19F                   24A28
FCC8       E1A0                   E1A0                   24A23
FCC9       6585                   6585                    6585
FCCA       656D                   656D                    656D
FCCB       655F                   655F                    655F
FCCC       E1A4                   E1A4                   2307E
FCCD       65B5                   65B5                    65B5
FCCE       E1A6                   E1A6                   24940
FCCF       E1A7                   4B37                    4B37
FCD0       65D1                   65D1                    65D1
FCD1       E1A9                   40D8                    40D8
FCD2       E1AA                   E1AA                   21829
FCD3       65E0                   65E0                    65E0
FCD4       65E3                   65E3                    65E3
FCD5       5FDF                   5FDF                    5FDF
FCD6       E1AE                   E1AE                   23400
FCD7       6618                   6618                    6618
FCD8       E1B0                   E1B0                   231F7
FCD9       E1B1                   E1B1                   231F8
FCDA       6644                   6644                    6644
FCDB       E1B3                   E1B3                   231A4
FCDC       E1B4                   E1B4                   231A5
FCDD       664B                   664B                    664B
FCDE       E1B6                   E1B6                   20E75
FCDF       6667                   6667                    6667
FCE0       E1B8                   E1B8                   251E6
FCE1       6673                   6673                    6673
FCE3       E1BB                   E1BB                   21E3D
FCE4       E1BC                   E1BC                   23231
FCE5       E1BD                   E1BD                   285F4
FCE6       E1BE                   E1BE                   231C8
FCE7       E1BF                   E1BF                   25313
FCE8       77C5                   77C5                    77C5
FCE9       E1C1                   E1C1                   228F7
FCEA       99A4                   99A4                    99A4
FCEB       6702                   6702                    6702
FCEC       E1C4                   E1C4                   2439C
FCED       E1C5                   E1C5                   24A21
FCEE       E1C6                   3B2B                    3B2B
FCEF       69FA                   69FA                    69FA
FCF0       E1C8                   E1C8                   237C2
FCF2       6767                   6767                    6767
FCF3       6762                   6762                    6762
FCF4       E1CC                   E1CC                   241CD
FCF5       E1CD                   E1CD                   290ED
FCF6       67D7                   67D7                    67D7
FCF7       E1CF                   44E9                    44E9
FCF8       6822                   6822                    6822
FCF9       6E50                   6E50                    6E50
FCFA       923C                   923C                    923C
FCFB       6801                   6801                    6801
FCFC       E1D4                   E1D4                   233E6
FCFD       E1D5                   E1D5                   26DA0
FCFE       685D                   685D                    685D
FD40       E1D7                   E1D7                   2346F
FD41       69E1                   69E1                    69E1
FD42       6A0B                   6A0B                    6A0B
FD43       E1DA                   E1DA                   28ADF
FD44       6973                   6973                    6973
FD45       68C3                   68C3                    68C3
FD46       E1DD                   E1DD                   235CD
FD47       6901                   6901                    6901
FD48       6900                   6900                    6900
FD49       E1E0                   3D32                    3D32
FD4A       E1E1                   3A01                    3A01
FD4B       E1E2                   E1E2                   2363C
FD4C       E1E3                   3B80                    3B80
FD4D       67AC                   67AC                    67AC
FD4E       6961                   6961                    6961
FD4F       E1E6                   E1E6                   28A4A
FD50       E1E7                   42FC                    42FC
FD51       6936                   6936                    6936
FD52       6998                   6998                    6998
FD53       E1EA                   3BA1                    3BA1
FD54       E1EB                   E1EB                   203C9
FD55       8363                   8363                    8363
FD56       5090                   5090                    5090
FD57       69F9                   69F9                    69F9
FD58       E1EF                   E1EF                   23659
FD59       E1F0                   E1F0                   2212A
FD5A       6A45                   6A45                    6A45
FD5B       E1F2                   E1F2                   23703
FD5C       6A9D                   6A9D                    6A9D
FD5D       E1F4                   3BF3                    3BF3
FD5E       67B1                   67B1                    67B1
FD5F       6AC8                   6AC8                    6AC8
FD60       E1F7                   E1F7                   2919C
FD61       E1F8                   3C0D                    3C0D
FD62       6B1D                   6B1D                    6B1D
FD63       E1FA                   E1FA                   20923
FD64       60DE                   60DE                    60DE
FD65       6B35                   6B35                    6B35
FD66       6B74                   6B74                    6B74
FD67       E1FE                   E1FE                   227CD
FD68       6EB5                   6EB5                    6EB5
FD69       E200                   E200                   23ADB
FD6A       E201                   E201                   203B5
FD6B       E202                   E202                   21958
FD6C       E203                   3740                    3740
FD6D       5421                   5421                    5421
FD6E       E205                   E205                   23B5A
FD6F       6BE1                   6BE1                    6BE1
FD70       E207                   E207                   23EFC
FD71       6BDC                   6BDC                    6BDC
FD72       6C37                   6C37                    6C37
FD73       E20A                   E20A                   2248B
FD74       E20B                   E20B                   248F1
FD75       E20C                   E20C                   26B51
FD76       6C5A                   6C5A                    6C5A
FD77       8226                   8226                    8226
FD78       6C79                   6C79                    6C79
FD79       E210                   E210                   23DBC
FD7A       E211                   44C5                    44C5
FD7B       E212                   E212                   23DBD
FD7C       E213                   E213                   241A4
FD7D       E214                   E214                   2490C
FD7E       E215                   E215                   24900
FDA1       E216                   E216                   23CC9
FDA2       E217                   36E5                    36E5
FDA3       E218                   3CEB                    3CEB
FDA4       E219                   E219                   20D32
FDA5       9B83                   9B83                    9B83
FDA6       E21B                   E21B                   231F9
FDA7       E21C                   E21C                   22491
FDA8       7F8F                   7F8F                    7F8F
FDA9       6837                   6837                    6837
FDAA       E21F                   E21F                   26D25
FDAB       E220                   E220                   26DA1
FDAC       E221                   E221                   26DEB
FDAD       6D96                   6D96                    6D96
FDAE       6D5C                   6D5C                    6D5C
FDAF       6E7C                   6E7C                    6E7C
FDB0       6F04                   6F04                    6F04
FDB1       E226                   E226                   2497F
FDB2       E227                   E227                   24085
FDB3       E228                   E228                   26E72
FDB4       8533                   8533                    8533
FDB5       E22A                   E22A                   26F74
FDB6       51C7                   51C7                    51C7
FDB9       842E                   842E                    842E
FDBA       E22F                   E22F                   28B21
FDBC       E231                   E231                   23E2F
FDBD       7453                   7453                    7453
FDBE       E233                   E233                   23F82
FDBF       79CC                   79CC                    79CC
FDC0       6E4F                   6E4F                    6E4F
FDC1       5A91                   5A91                    5A91
FDC2       E237                   E237                   2304B
FDC3       6FF8                   6FF8                    6FF8
FDC4       E239                   370D                    370D
FDC5       6F9D                   6F9D                    6F9D
FDC6       E23B                   E23B                   23E30
FDC7       6EFA                   6EFA                    6EFA
FDC8       E23D                   E23D                   21497
FDC9       E23E                   E23E                   2403D
FDCA       E23F                   4555                    4555
FDCB       93F0                   93F0                    93F0
FDCC       6F44                   6F44                    6F44
FDCD       6F5C                   6F5C                    6F5C
FDCE       E243                   3D4E                    3D4E
FDCF       6F74                   6F74                    6F74
FDD0       E245                   E245                   29170
FDD1       E246                   3D3B                    3D3B
FDD2       6F9F                   6F9F                    6F9F
FDD3       E248                   E248                   24144
FDD4       6FD3                   6FD3                    6FD3
FDD5       E24A                   E24A                   24091
FDD6       E24B                   E24B                   24155
FDD7       E24C                   E24C                   24039
FDD8       E24D                   E24D                   23FF0
FDD9       E24E                   E24E                   23FB4
FDDA       E24F                   E24F                   2413F
FDDB       51DF                   51DF                    51DF
FDDC       E251                   E251                   24156
FDDD       E252                   E252                   24157
FDDE       E253                   E253                   24140
FDDF       E254                   E254                   261DD
FDE0       704B                   704B                    704B
FDE1       707E                   707E                    707E
FDE2       70A7                   70A7                    70A7
FDE3       7081                   7081                    7081
FDE4       70CC                   70CC                    70CC
FDE5       70D5                   70D5                    70D5
FDE6       70D6                   70D6                    70D6
FDE7       70DF                   70DF                    70DF
FDE8       E25D                   4104                    4104
FDE9       E25E                   3DE8                    3DE8
FDEA       71B4                   71B4                    71B4
FDEB       7196                   7196                    7196
FDEC       E261                   E261                   24277
FDED       712B                   712B                    712B
FDEE       7145                   7145                    7145
FDEF       5A88                   5A88                    5A88
FDF0       714A                   714A                    714A
FDF2       5C9C                   5C9C                    5C9C
FDF3       E268                   E268                   24365
FDF4       714F                   714F                    714F
FDF5       9362                   9362                    9362
FDF6       E26B                   E26B                   242C1
FDF7       712C                   712C                    712C
FDF8       E26D                   E26D                   2445A
FDF9       E26E                   E26E                   24A27
FDFA       E26F                   E26F                   24A22
FDFB       71BA                   71BA                    71BA
FDFC       E271                   E271                   28BE8
FDFD       70BD                   70BD                    70BD
FDFE       720E                   720E                    720E
FE40       9442                   9442                    9442
FE41       7215                   7215                    7215
FE42       5911                   5911                    5911
FE43       9443                   9443                    9443
FE44       7224                   7224                    7224
FE45       9341                   9341                    9341
FE46       E27A                   E27A                   25605
FE47       722E                   722E                    722E
FE48       7240                   7240                    7240
FE49       E27D                   E27D                   24974
FE4A       68BD                   68BD                    68BD
FE4B       7255                   7255                    7255
FE4C       7257                   7257                    7257
FE4D       E281                   3E55                    3E55
FE4E       E282                   E282                   23044
FE4F       680D                   680D                    680D
FE50       6F3D                   6F3D                    6F3D
FE51       7282                   7282                    7282
FE53       732B                   732B                    732B
FE54       E288                   E288                   24823
FE55       E289                   E289                   2882B
FE56       E28A                   48ED                    48ED
FE57       E28B                   E28B                   28804
FE58       7328                   7328                    7328
FE59       732E                   732E                    732E
FE5A       73CF                   73CF                    73CF
FE5B       73AA                   73AA                    73AA
FE5C       E290                   E290                   20C3A
FE5D       E291                   E291                   26A2E
FE5E       73C9                   73C9                    73C9
FE5F       7449                   7449                    7449
FE60       E294                   E294                   241E2
FE61       E295                   E295                   216E7
FE62       E296                   E296                   24A24
FE63       6623                   6623                    6623
FE64       E298                   36C5                    36C5
FE65       E299                   E299                   249B7
FE66       E29A                   E29A                   2498D
FE67       E29B                   E29B                   249FB
FE68       73F7                   73F7                    73F7
FE69       7415                   7415                    7415
FE6A       6903                   6903                    6903
FE6B       E29F                   E29F                   24A26
FE6C       7439                   7439                    7439
FE6D       E2A1                   E2A1                   205C3
FE6E       E2A2                   3ED7                    3ED7
FE70       E2A4                   E2A4                   228AD
FE71       7460                   7460                    7460
FE72       E2A6                   E2A6                   28EB2
FE73       7447                   7447                    7447
FE74       73E4                   73E4                    73E4
FE75       7476                   7476                    7476
FE76       83B9                   83B9                    83B9
FE77       746C                   746C                    746C
FE78       E2AC                   3730                    3730
FE79       7474                   7474                    7474
FE7A       93F1                   93F1                    93F1
FE7B       6A2C                   6A2C                    6A2C
FE7C       7482                   7482                    7482
FE7D       E2B1                   4953                    4953
FE7E       E2B2                   E2B2                   24A8C
FEA1       E2B3                   E2B3                   2415F
FEA2       E2B4                   E2B4                   24A79
FEA3       E2B5                   E2B5                   28B8F
FEA4       5B46                   5B46                    5B46
FEA5       E2B7                   E2B7                   28C03
FEA6       E2B8                   E2B8                   2189E
FEA7       74C8                   74C8                    74C8
FEA8       E2BA                   E2BA                   21988
FEA9       750E                   750E                    750E
FEAB       751E                   751E                    751E
FEAC       E2BE                   E2BE                   28ED9
FEAD       E2BF                   E2BF                   21A4B
FEAE       5BD7                   5BD7                    5BD7
FEAF       E2C1                   E2C1                   28EAC
FEB0       9385                   9385                    9385
FEB1       754D                   754D                    754D
FEB2       754A                   754A                    754A
FEB3       7567                   7567                    7567
FEB4       756E                   756E                    756E
FEB5       E2C7                   E2C7                   24F82
FEB6       E2C8                   3F04                    3F04
FEB7       E2C9                   E2C9                   24D13
FEB8       758E                   758E                    758E
FEB9       745D                   745D                    745D
FEBA       759E                   759E                    759E
FEBB       75B4                   75B4                    75B4
FEBC       7602                   7602                    7602
FEBD       762C                   762C                    762C
FEBE       7651                   7651                    7651
FEBF       764F                   764F                    764F
FEC0       766F                   766F                    766F
FEC1       7676                   7676                    7676
FEC2       E2D4                   E2D4                   263F5
FEC3       7690                   7690                    7690
FEC4       81EF                   81EF                    81EF
FEC5       E2D7                   37F8                    37F8
FEC6       E2D8                   E2D8                   26911
FEC7       E2D9                   E2D9                   2690E
FEC8       76A1                   76A1                    76A1
FEC9       76A5                   76A5                    76A5
FECA       76B7                   76B7                    76B7
FECB       76CC                   76CC                    76CC
FECC       E2DE                   E2DE                   26F9F
FECD       8462                   8462                    8462
FECE       E2E0                   E2E0                   2509D
FECF       E2E1                   E2E1                   2517D
FED0       E2E2                   E2E2                   21E1C
FED1       771E                   771E                    771E
FED2       7726                   7726                    7726
FED3       7740                   7740                    7740
FED4       64AF                   64AF                    64AF
FED5       E2E7                   E2E7                   25220
FED6       7758                   7758                    7758
FED7       E2E9                   E2E9                   232AC
FED8       77AF                   77AF                    77AF
FED9       E2EB                   E2EB                   28964
FEDA       E2EC                   E2EC                   28968
FEDB       E2ED                   E2ED                   216C1
FEDC       77F4                   77F4                    77F4
FEDE       E2F0                   E2F0                   21376
FEDF       E2F1                   E2F1                   24A12
FEE0       68CA                   68CA                    68CA
FEE1       78AF                   78AF                    78AF
FEE2       78C7                   78C7                    78C7
FEE3       78D3                   78D3                    78D3
FEE4       96A5                   96A5                    96A5
FEE5       792E                   792E                    792E
FEE6       E2F8                   E2F8                   255E0
FEE7       78D7                   78D7                    78D7
FEE8       7934                   7934                    7934
FEE9       78B1                   78B1                    78B1
FEEA       E2FC                   E2FC                   2760C
FEEB       8FB8                   8FB8                    8FB8
FEEC       8884                   8884                    8884
FEED       E2FF                   E2FF                   28B2B
FEEE       E300                   E300                   26083
FEEF       E301                   E301                   2261C
FEF0       7986                   7986                    7986
FEF1       8900                   8900                    8900
FEF2       6902                   6902                    6902
FEF3       7980                   7980                    7980
FEF4       E306                   E306                   25857
FEF5       799D                   799D                    799D
FEF6       E308                   E308                   27B39
